POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
46,31,0.19480519227525725,0.043527416594953405,24.232876712328768,41.09666478236292,26.131816597876675,727,1041,1.5279819106840022,18,4.4171848501978515
27,20,0.14893616704391135,0.07057057046460875,22.2,35.43543543543544,23.05417417417418,236,334,1.4009009009009008,8,4.217717717717718
4,1,0.599999880000024,0.06249999921875001,80.0,45.0,50.0,36,37,1.55,1,4.8125
14,1,0.8666666088888928,0.08379888221341407,89.5,39.10614525139665,51.44245810055866,70,114,1.4804469273743017,0,4.379888268156424
8,3,0.4545454132231443,0.08088235234645329,17.0,44.85294117647059,24.741176470588236,61,83,1.6911764705882353,1,4.992647058823529
25,1,0.9230768875739658,0.07536231862213821,28.75,35.65217391304348,25.76086956521739,123,169,1.4782608695652173,0,4.220289855072464
0,0,0.0,0.0,1.0,0.0,0.4,0,1,1.0,0,2.0
5,0,0.99999980000004,0.06024096312962695,13.833333333333334,49.39759036144578,25.29236947791165,41,53,1.6746987951807228,0,4.602409638554217
22,7,0.5172413614744358,0.07967032945145514,16.545454545454547,36.53846153846153,21.233566433566434,133,198,1.4038461538461537,7,4.131868131868132
3,1,0.49999987500003124,0.11111110802469146,36.0,41.66666666666667,31.06666666666667,15,20,1.5277777777777777,0,4.777777777777778
1,0,0.9999990000010001,0.03846153698224858,13.0,57.692307692307686,28.276923076923072,15,19,1.8076923076923077,0,4.923076923076923
1,0,0.9999990000010001,0.12499998437500197,8.0,25.0,13.200000000000001,2,4,1.25,1,4.0
7,3,0.39999996000000404,0.09174311842437506,12.11111111111111,50.45871559633027,25.027930682976553,55,67,1.6788990825688073,0,5.036697247706422
5,0,0.99999980000004,0.050505049994898486,16.5,34.34343434343434,20.33737373737374,34,48,1.4242424242424243,1,4.242424242424242
5,4,0.11111109876543349,0.0297029701990001,30.3,38.943894389438945,27.69755775577558,118,165,1.5115511551155116,3,4.551155115511551
2,0,0.99999950000025,0.22222219753086697,9.0,33.33333333333333,16.933333333333334,3,5,1.3333333333333333,0,3.5555555555555554
