unique id,name,rating,votes,title,location,date,genuinity,description
19018,Careful Buyer,5,288,Overall Good Laptop for both medium-high graphic quality gaming and work/anything else,India,21-May-22,Verified Purchase,"The media could not be loaded.
                



 Laptop CPU runs hot. Windows11/HP/AMD background software keeps cpu working at 30-40% even at idle. But right when you launch task manager to see which process is taking up so much CPU resources, these processes stop right away and you can't even figure out what processes were running. Suddenly the processor load is at 1 or 2% instead of 30-40%. Something is going on with Windows11. My issue was this background shenanigans kept the CPU/Laptop hot. Even at 30% CPU load, temperature can get near 100C. So what I do now is always keep task manager running, this keeps the unnecessary background processes stopped and lets my CPU be cool when idle. To monitor CPU load and also temperature a software called CoreTemp can be used. Essential if your CPU is being used/hijacked by some unnecessary process which hides itself in the Windows Task manager like in my case.edit: Used a third party software called Anvir taskmanager  and found windows explorer was keeping the cpu at 33% load even when idle, making the CPU temperature reach 100C for no reason. So just restarting the explorer in taskmanager fixed the issue.Initially without any clue as to what was happening, I had to re-paste the CPU/GPU thermal paste, try out a third-party software to control AMD Ryzen temperature. More about that below. Also figured out HP factory setup for the laptop back panel had a plastic sheet which was covering up a huge air vent. So make sure to discard plastic sheet if you are planning to game and want to keep the laptop  as cool as possible.I like my laptop to stay sort of cool even when gaming, so it lasts long and I don't have to worry about replacing it's fan sooner. I re-pasted the CPU and GPU with some Cooler Master MasterGel Pro Thermal Paste. When I opened up the thermal heat sink metal plate, there were two kinds of paste, grey on CPU/GPU and white on some other chips. The white paste is a silicon based paste called CLG-3500 the name you can find in the Maintenance and Service guide for this laptop on HP website. I left the white paste there, it's of lower thermal conductivity so basically lower quality than mastergel. I filled some gaps on it with my higher thermal conducting Mastergel paste, a few drops here and there. These chips are of lower importance in generating heat when compared to CPU/GPU and also Mastergel paste does not conduct electricity.  For CPU GPU I cleaned out entire factory applied grey thermal paste with some iso alcohol/cloth and then repasted with my Mastergel paste. The mastergel/thermal paste only conducts heat to metal plate and it's upto the fans/ventilation to remove it from metal plates.HP factory setting for this  laptop blocks the main air vent on the back panel of the laptop with some kind of plastic/paper sheet thing. You can see attached pics. Don't know why HP would block a huge air vent they made themselves for their gaming laptop with a plastic sheet. This air vent sits right on top of the heat conducting metal plate and so opening this up would conduct away most of the heat from the metal plate easily, letting the laptop run cooler more easily and letting the laptop fan do less work and thus last longer. Any plans to use a laptop cooler stand with built in fans would be more effective if the back panel had lots of holes on it for cooler air to flow in. An MSi bravo laptop that I considered with same processor and graphics card  as this HP victus has a backpanel that exposes most of it's metal plates to air easily with lots of holes. I initially thought this HP model also had air vents from the few pics could find earlier but only found it was blocked once I got it in my hand. So I plucked out this blocking sheet right out of the backpanel and now my airvents are fully open exposing the hot metal plate. I made a DIY laptop stand with a USB table fan and an inverted plastic box with a big hole for the fan to sit in. I put the fan inside the box and the laptop on top of the box so that the fan blows air right at the air vent/metal heat sink plate.With this set up I am able to keep my laptop cool when gaming heavy. I ran God of War game at high graphic settings, which made my CPU consume 80-90Watts and GPU 70-80 watts and produce maximum heat, CPU went to 101 C and GPU to 90C. The frames per second for GOW game was good at 40-65fps in closed settings and slightly laggy in rare occassions. But since I repasted the CPU/GPU, my laptop backpanel air vent was fully open and I also put a table fan blowing air into the metal heat sink ... over all the laptop body was cool underside and slightly warm to touch on keyboard regardless of whether the CPU/GPU was hot. Also monitored the laptop CPU fan speed using Speedfan 4.52 software. The maximum speed is around 4800 rpm (OMEN software can force CPU fan to maximum speed). while idle it's around 2200 rpm without external fan and 0 rpm with external fan. While gaming with my current set up and an external fan, the cpu fan speed is around 3800 to 4000 rpm. It never reaches the maximum speed because over all laptop is cool even when CPU is hot.For experts who know about TDP and want to control CPU wattage and temperature directly, there are two softwares, one is Ryzen controller and other is AMD APU Tuning Utility. Both use another program called RyzenAdj.exe which can directly change certain parameters of the Ryzen CPUs. For this Ryzen 5600H cpu, the max TDP power value it can operate at is around 113 Watts. The max temperature it can operate at is around 100C. Both are factory set and can be found using command line interface with Ryzenadj software. So using one of these softwares Ryzenadj, Ryzen controller  or AMD APU Tuning Utility, you can set these values during a user session. For example you can decrease  the maximum wattage allowed from 113 to 50 watts and maximum temperature can be decreased from 100C to say 70C. With these new values, the Ryzen 5600h CPU will not be able to use more power or will not be allowed to heat up beyond the set value. These settings are always reset upon restart of the laptop provided you do not apply it again.  So I  used these softwares to try to decrease my laptop  temperature. For idle/not gaming setting, I would use a temperature limit of 70C and the CPU would never cross this value. You can also use these softwares to set temperature or TDP wattage values while gaming. For example a setting I used was not allow temperature to cross above 80C  and not allow TDP to cross above 75W. Only one of these values will take precedence over the other, probably the temperature one because CPU heats up really fast even with 30% load. Played a lot using these settings and was able to get good 40-60 fps in Racing game Dirt 5 in high medium mix graphic settings on a heavy rain race track simulating most weather and graphic effects. The CPU temperature never crossed 80-81C. GPu temperature reached near 80C but this cannot be controlled directly by these softwares, only can change and control CPU values. If lacking a Laptop cooling stand and external fan, I would use these softwares to decrease laptop temperature but otherwise it's not necessary.Laptop monitor lacks color, Recommend installing latest AMD radeon drivers and AMD Adrenalin software. I increased the saturation of my monitor. AMD Adrenalin software also has a vivid setting for global display/graphics. Use that to show more colorful display and in game .The Laptop graphics card has 4GB vram which can affect high texture graphics required for some games. Some games like dirt 5 or forza 5 gives vram low warnings. Still for Dirt 5 graphics is pretty great. For Forza 5 it could use a bit improvement. Forza 4 runs great and has great graphics though. Though at this price point this laptop is good , most 6GB vram laptops are selling  at way higher prices. I would recommend a high 6GB VRAM graphic card rather than a Nvidia 3050 as an improvement over this rx 5500mAlso recommend getting another 8GB RAM as it would add more to gaming and multi tasking experience.  I installed two 16 Gb rams to have total 32GB and everything works great, switches programs on the fly, from gaming to work instantly. Some rare games like God of war and Modern warfare warzone battle royale used more than 16 GB ram, up to 20GB. For most other games 16GB should be more than enough.edit: tried out several games, all action adventure and racing games available for  xbox gaming pass and EA play subscription . Over all the impression is this laptop is good for gaming at 1920 x 1080 resolution with greater than 40 fps minimum at high graphic settings. It can go to ultra graphics for games released before 2020. One issue I found was when gaming long hours, the battery seems to be discharging at a slow but significant rate even when power cable was connected. The issue could be either laptop or my home's power lines. No idea.edit2:Due to modifying my laptop cpu's power settings using third party sw, or due to unlocking and using windows ultimate performance/high performance power plans in windows power options, one of those two reasons, Maybe not these reasons at all, but anyway my cpu and gpu together are consuming more than 150 watts  that the power brick can provide and this is what is causing the battery drainage when I play games for over 5 to 6 hours continuously. So I now limit the cpu power limit to around 78W using ryzen controller sw. Rest of the power from power brick is reserved for graphics card. This resolves the battery draining problem I was having and I am still able to play games at more or less same quality, speed and graphics. Constant draining and recharging would be bad for battery life. This makes it seem like the cpu and gpu of this laptop could have performed greater if it were provided a 200W power brick."
18624,Dhruv Srivastava,5,10,Budget king - period,India,22-Jan-23,Verified Purchase,"Review post approx. 5 months of use:Despite the disappointing state of Indian laptop market since mid-2020s, I'd go ahead and say that if you're looking for a laptop for budget gaming or media creation, at the time of writing this review - this is the best you can do in terms of price to performance ratio. This is currently the best performance laptop you can buy in 50k-85k segment. And that's a huge claim, I know, but the Indian laptop market is that screwed at the moment. There are just no fair offerings in that segment and that segment is supposed to be multiple segments (like 50-60k, 60-70k, 70-80k and so on). Of course I'm leaving out RTX3050 laptops but I don't think they're priced well for what they're offering. The only other laptops that make sense would be 3050Ti ones due to their higher performance and even then, their pricetags are not proportional to the increase in performance when compared to this RX5500M laptop. You pay way more than the performance bump you get.Also, please remember to uninstall bloatware and stick to OEM graphics drivers instead of installing Radeon graphics drivers (because every laptop is different and parent companies know better about what drivers would serve their laptops better- speaking from experience with this very laptop).The Victus has a lot of things going for it. Remember, I bought this was like 48k in a sale so the features it has at that price point are a no-brainer.Pros:- Tiny bezel around the screen makes it feel so slick and modern- Screen size is plenty big and the screen quality is quite pleasant to look at- Backlit keyboard (white light only but that's not something I consider a con since I don't like RGB anyways)- Numpad included in the keyboard- Awesome thermals. It plays games like CSGO and Mudrunner on max settings without having to ramp up the fans so the experience is quiet and pleasant. Although, playing more demanding games like Snowrunner do tend to make it run hot so the fans spool up to higher RPMs (in which case you can just use noise-cancelling headphones to offset that issue).- Best in class CPU and graphics card. I added in another 8GB RAM stick and this thing is now unstoppable!-Soild build quality. I was attacked by a dog so hard that I got knocked back while this laptop was in my bag behind my back and when I fell, the bag was crushed under my weight. Not a scratch.- Minimalist design is very much appreciated. I hate loud, flashy, obnoxious designs from other brands screaming, ""LOOK AT MEEE!!!1!1!!"" so this subtle, subdued but still upmarket design is great for me.- People complain about this laptop's screen wobbling issue, especially while under a running fan. Sure, it's a thin screen so it's bound to happen but honestly, I don't see it. Yeah, it does wobble if you slap the screen gently but that's rare and also, why would you? I just leave the screen alone and do my thing. Haven't had a problem yet.Cons:- It's very heavy. At 2.5 kg, this thing is a behemoth. But I guess, you can't have everything. I'm okay with this being the only con to that many features at this price point.- Can't think of any other cons. In fact, I haven't had any other issues with it during the last 5 months of my ownership at all whatsoever so... that's great!Honestly, this is a great value for money laptop and I recently recommend it and got at least 3 other people to buy it. Not one of them has had an issue either. This laptop was one of the best strategies adopted by HP of late. I look forward to many years of worry-free gaming and 3D animation with this thing."
19875,Aditya,4,4,Buy this laptop when want to do all in one laptop 😂💻,India,01-Feb-23,Verified Purchase,"This is best laptop within the this price point• camera quality is ok ok• build quality is very goodDesining , logos , amezing• keyboard colour is white  perfect for professional• screen quality is also ok ok• refresh rate is 60hz this is down side• graphic is rtx redeon 5500m this is best graphics card it is above GTX 1650 and below than rtx 3050Mean is mid leval graphic cardThis give you best performance in medium settings in gamingMost interesting part it give you GTX 1650maxq than best performance• cpu is also amd gen 5 5600h processor it's best processor• 8gb ram 512 GB storage• windows 11 home it's chep quality money saving strategy• hinge is is not good it also drowback of this laptop 💻• weight is pretty heavy 🪨 2.3 kg it aslo drowback of this laptop• battery quality is also good give you long time when is do simple tasks• speaker 🔊 is volume is best 5 star ⭐• track pad is big and satisfying quality• 1 year full warranty hp supportSome weak point of this but it is perfect for me in this price pointThank you 💓☺️"
16865,Placeholder,4,2,Some Display and connection glitches,India,10-Feb-23,Verified Purchase,"There are some certain display and connection when we start our laptop it doesn't connects with wifi and if connect shows no internet, and suddenly it's display gets off....... Then i left as ir was for 5-10 minutes..... Then automatically it turned off after that i turned it onOther wise there are no other problems..... Product is excellent and working properly very good..... Best allrounder laptop for a reason..... ( i wish hp will fix these glitches by some updates)"
20343,Wasim,4,8,Good Machine but blacklight bleeding,India,25-Jan-23,Verified Purchase,"Used for past 10hours.Pros.Good build quality, many differences from YouTube videos and real life feel. Build quality is solid.So far good performance.Comes with Win 11 not win 10 wrongly mentioned in Amazon.Premium mouse pad.Indicator lights are more even for mute indicator lights are there.HIGHLIGHTS:*MS OFFICE FREE LIFETIME*XBOX GAME PASS 1MONTH FREE( you can claim it inside the microsoft store Library)Cons:Blacklight bleeding, only in my device or all devices I don't know.Sound is low in dialogues, but songs are volume is high and good, not bad.While dialogues it's low.Myths:Hinge is not very bad. It's like other laptops. Slightly you can notice. Not a big difference like shown in YouTube videos.Cheap build quality. Not it's not. Build quality is very premium. In hand feel is very solid.Will update after 1 or 2 months"
18455,Likhith,4,14,Good performance with AMD Advantage Edition.,India,02-Dec-22,Verified Purchase,"Overall performance can be rated 4.5 out of 5. The IPS FHD display with HDR is good and it plays 4K resolution HDR videos with no tearing but could have been better if a 144Hz refresh rate is available(if you’re looking for gaming purpose then go for MSI Bravo 15 which comes with same configuration but with a 144Hz AMD Freesync compatible display). Built in speakers do a remarkable job and there is Bang and Olufsen app for modification of audio levels. Coming to the GPU part, as long as you have AMD stable drivers, the performance is fantastic but dont expect ReLive to work because there is Radeon integrated GPU along with Ryzen 5 5600 enabled but you can make BIOS changes to 'GPU-Discrete only' and switch the GPU to RX5500M alone to make it work. And speaking of BIOS, there will be an update available but it just won't install and the HP support team will try their best but it can't be resolved. That is the only issue I've faced so far, just the BIOS won't install but it doesn't affect performance for basic and regular users and gamers. Also the USB ports on the left will work even if the device is shut down, so this can be useful if you're travelling where the laptop is in  your backpack and you can plug in your phone as use it as a power source since the laptop has a 70 watt hour battery. Speaking of battery back up, using it for basic usage in balanced mode with battery saver turned on, it lasts around 7 hours but with the high performance mode turned on and usage for graphic works, it lasts for around 3 hours. Coming to the connectivity and ease of usage, everything works just fine. The backlight keyboard has toggle on and off but there are no brightness levels to change.  This can be most suitable for people who use for both education related as well as multimedia and also for mediumto high graphic gaming."
17402,Just good ,4,,Good,India,13-Feb-23,Verified Purchase,Yo
18084,sayed anas ali,4,One,Good performance but screen lags colour,India,23-Jan-23,Verified Purchase,"The media could not be loaded.
                



 Screen is below average when I used it first time . Then I used and driver (adrenaline version and select vivid gaming mode + slightly increased saturation). Now screen looks fine. Performance is good , built quality is ok, speakers above average, battery normally last for 5 hours ( may vary on your usage like 7-8 hour or more on battery saver mode in movies or chrome , 3 hour while gamming. Keyboard is nice .I Will review it in detail after 1 month."
17433,Mayank Shrivas,5,5,"For 55K , this is some really good hardware.",India,13-Jan-23,Verified Purchase,"Basically what HP has done is given you a slightly weaker OMEN but fixed all flaws of the OMEN.First of all , to kick all myths out of the way:1. Yes , the screen wobbles a bit. But it's not at all a big deal. The hinges are very sturdy and I did not face any issue typing on it.2. The laptop has excellent cooling , even in the base model. I played some heavy games for an hour ,and CPU and GPU temps never crossed 60. The fan has a very gentle but long fan curve and if you crank it up to max , you will feel like it's a jet engine. But leave it at auto , and you will barely even notice it. HP has done an excellent job with the cooling.Coming to the build quality , HP has done an outstanding job in terms of looks and finish. Even if you look at competing laptops in this price range , they stand nowhere near to how good this laptop looks. I can't stress it enough that how immaculate those V designs look in real life and how they have done an outstanding job with matte finish. One of the best matte finishings I have seen. In terms of aesthetics , THIS LAPTOP IS A VIBE.You can clearly see that HP spent actual efforts towards the design and aesthetics. They went even as far as to color the inside of the USB 3 ports black . They could have left it blue by default if they wanted to and no one would complain.Port selection is amazing and you get three USB 3 ports , all supporting 5 GBPs transfers. Every other laptop in this price segment would give you two USB 2 ports and 1 USB 3 port. Type C port is also of 3.2 type.HP have really outdone themselves with this machine. They have clearly focused on perfecting tiny details like giving Bluetooth 5.2 support instead of only 5.0 (very nice!) , super easy upgradability and a complete package rather than screaming gamer vibes like they do with some pavilion laptops. This is easily the king of gaming laptops in 50-55k range. It's listed MRP on box is 76K."
17926,Shaik Faisal,4,One,Performance is Good but Build Quality is Poor,India,17-Jan-23,Verified Purchase,Overall Good Budget Gaming Laptop.The Performance is Good but The Build Quality is Poor... It has Wobbling Issue that's it.... and as Compare to other Gaming Laptops the Victus is Worth in under 53k Budget....
